name,url,description,category,status
Beginners Whittling Club | Oiled this gnome up today after an ...,https://www.facebook.com/groups/2190983165059165/,Oiled this gnome up today after an interesting carve. Just messing around with a 2x2x4 block and put a lot of chips on the floor for sure! Dimensions could have been better but started whittling...,englishcnc,reviewed
CNC For The Beginner (Uncensored) | To those who make ...,https://www.facebook.com/groups/585824148849958/,"Sep 19, 2025 · 46w · Public Holidays are just around the corner so I thought I'd show an ornament that I make that hangs on a door or in a window. They've been quite popular the last 3 years I've offered them. A good test of your mitering skills. 12mmX12mm material, cherry, maple & walnut. 30 + 60 degree miters. Jeff Carr and 21 others 22 reactions · 3 comments",englishcnc,reviewed
CNC No Rules Group | Christmas ornament Vcarve file Ornament ...,https://www.facebook.com/groups/2757938511160403/,"Nov 30, 2020 · Ideas for Christmas ornaments using CNC? Ernie Hobbs CNC woodworking ideas 1y · Public",englishcnc,reviewed
CNC WOODWORKING | Been hammering down on making Christmas ...,https://www.facebook.com/groups/cncwoodworking/,"Dec 11, 2025 · ornaments for the season, but stopped a few years ago due to it being the same old boring same old. This year I decided to get away from the conventional a bit. This one is still a bit more conventional than I like, so the next ones will be less so. I'm playing with a design in my head that I like. We'll see if I can transition it into",englishcnc,reviewed
3D Model stl's free & paid - Facebook,https://www.facebook.com/groups/1005771027834625/,"We've got you covered! 🎉 We're offering a FREE set of 3D models in STL format, ready for printing. 🖨️ Get creative and bring your ideas to life with these awesome designs.",englishcnc,reviewed
STL marketplace - Facebook,https://www.facebook.com/groups/1805979386883316/,"Discover a vast array of STL files for your 3D printing projects, from intricate figurines to functional tools. What you can expect: * Model Showcase: Share your latest 3D designs and get feedback from other members.",englishcnc,reviewed
3D Printing Stls and Files - Facebook,https://www.facebook.com/groups/501167360318082/,"23 hours ago · Basically, a little piece of Santa Carla for your shelf. The model has been separated into multiple parts to make printing, painting and assembly easier, with individual components for the mouth, teeth, gums and tongue.",englishcnc,reviewed
مكتبة التصاميم والنماذجBibliothèque des Designs et Modèles Pour CNC ...,https://www.facebook.com/groups/970885443122363/,"☆ #ARMADA_CNC ☆ لأن كل قطعة خشبية تستحق لمسة سحرية 👈🏻اجعل لصقك فناً . 🔝 لصق قوي ، نتائج رائعة 🔝 #آلة_لصق_حرف_خشب 🆕 #WI_GSF200A "" 7 مراحل "" وهي : { { لصق / كسر حواف / دمج / قص نهاية / مسح / تلميع / شفط ...",englishcnc,reviewed
RAVEN CNC Group - Facebook,https://www.facebook.com/groups/ravencnc/,"This group is to discuss all things RAVEN CNC. Projects, Questions, Answers, Contests, and more.",englishcnc,reviewed
"TechnaHub - Le Hub des Makers francophones (3D, CNC ... - Facebook",https://www.facebook.com/groups/technahub/,"Bienvenue dans TechnaHub, le groupe officiel de la communauté TechNapa. Cet espace rassemble les makers francophones qui souhaitent partager leurs...",englishcnc,reviewed
CNC MACHINING | Facebook,https://www.facebook.com/groups/1533883080261195/,"This a group for people in the need of CNC services; milling, turning, router, etc. Feel free to share your abilities or needs. This is an open group for...",englishcnc,reviewed
CNC Woodworking - Facebook,https://www.facebook.com/groups/corbincncwoodworking/,"CNC Woodworking! A group by CNC woodworker Corbin Dunn. Share projects, photos, and ask questions related to woodworking and CNC routers. Discuss CAD/CAM...",englishcnc,reviewed
Recommended CNC machine for hobbyist woodworking,https://www.facebook.com/groups/326735615379448/,Popular groups · Find communities for you · Over 1 billion people across the globe are using Facebook Groups to explore their favorite topics · Log in · Categories · Science & tech · Travel · Animals · Sports & fitness · Entertainment,englishcnc,reviewed
CNC Wood Working - Facebook,https://www.facebook.com/groups/3161162014011829/,"All type of wood cutting , carving ,designing by CNC Machine Bed designing, Curtain box, jali design, 2d ,3d design, Moulding , Door design with CNC...",englishcnc,reviewed
Hello everyone ! I want to buy a cnc machine for wood and,https://www.facebook.com/groups/877283866171408/,Popular groups · Find communities for you · Over 1 billion people across the globe are using Facebook Groups to explore their favorite topics · Log in · Categories · Science & tech · Travel · Animals · Sports & fitness · Entertainment,englishcnc,reviewed
CNC Wood Design - Facebook,https://www.facebook.com/groups/542786613508169/,🛠️ Diseños para Router CNC 📦Packs disponibles: ⚒️ Pack de 116 diseños 🐶🐱 Pack Casas para mascotas 👶🛝 Pack Caminadores infantiles 🚲 Pack Camicletas ⛩️ Pack Módulos decorativos 📐 ¿Qué incluyen los packs? Archivos DXF listos para cortar Versiones adaptadas a distintos espesores de material Piezas acomodadas y optimizadas para un corte rápido y eficiente ...,englishcnc,reviewed
CNC design art | Facebook,https://www.facebook.com/groups/323034511675993/,"Dețin o colecție impresionantă de fișiere (peste 40.000) 2D (dxf) și 2,5 și 3D (stl) pentru toate domeniile de activitate. La comandă pot executa orice model de ...",englishcnc,reviewed
Cnc designs - Facebook,https://www.facebook.com/groups/2685283334823087/,"9 Jun 2024 · 3d Reliefs for cnc routers- 3d Carving Models ( artcam - jdpaint - zbrush). Atanu DasNov 26, 2023. Contact :- +91 6297017030.",englishcnc,reviewed
custom 3D models for 3D printing or CNC carving? I create ...,https://www.facebook.com/groups/759212120825030/,"18 May 2025 · custom 3D models for 3D printing or CNC carving? I create high-quality, tailor-made designs just for you! Call/WhatsApp: +917439955095 ! ...",englishcnc,reviewed
"Dear friends, I present to you my new works. Models of plates ...",https://www.facebook.com/groups/355237995256302/,"9 Feb 2022 · Hello. I make 3D models for CNC machines and 3D printing. If you are interested in my work, I will be glad to meet you. Here are examples ...",englishcnc,reviewed
Aspire V Crave Artcam Cnc Design,https://www.facebook.com/groups/579980166357695/,توسط کاربر به صورت دستی اضافه شده است.,englishcnc,reviewed
CNC GROUP,https://www.facebook.com/groups/1735318089987173/,توسط کاربر به صورت دستی اضافه شده است.,englishcnc,reviewed
The WorkBee CNC Group,https://www.facebook.com/groups/419097441889164/,توسط کاربر به صورت دستی اضافه شده است.,englishcnc,reviewed
Cnc morocco all design aspire 2D and 3D all design view and share files,https://www.facebook.com/groups/540773406101159/,توسط کاربر به صورت دستی اضافه شده است.,englishcnc,reviewed
Flat Pack Furniture Design For CNC,https://www.facebook.com/groups/fpfdcnc/,توسط کاربر به صورت دستی اضافه شده است.,englishcnc,reviewed
